,Time Averaged Accuracy,Total Energy Remaining,Best Heading/Bearing Correlation,Heterogeneity Parameter,Seekers,Explorers
0,0.8536906666666666,0.134,0.564968253968254,0.16,42.0,8.0
0,0.5820546666666666,0.445,0.4189756097560975,0.18,41.0,9.0
0,0.6204093333333334,0.347,0.4467666666666666,0.2,40.0,10.0
0,0.6843180000000001,0.35,0.4479829059829059,0.22,39.0,11.0
0,0.6308606666666666,0.372,0.4304561403508772,0.24,38.0,12.0
0,0.6201420000000001,0.34,0.4247027027027027,0.26,37.0,13.0
0,0.677054,0.3,0.4704814814814815,0.28,36.0,14.0
0,0.6822353333333334,0.232,0.4793333333333333,0.3,35.0,15.0
0,0.8420006666666668,0.107,0.6292941176470588,0.32,34.0,16.0
0,0.6412213333333333,0.245,0.5052929292929292,0.34,33.0,17.0
0,0.7472326666666667,0.129,0.55175,0.36,32.0,18.0
0,0.70297,0.214,0.6073118279569892,0.38,31.0,19.0
0,0.7937160000000001,0.115,0.6115777777777778,0.4,30.0,20.0
0,0.8153266666666666,0.161,0.6318620689655172,0.42,29.0,21.0
0,0.8171106666666664,0.173,0.6322142857142857,0.44,28.0,22.0
0,0.828158,0.155,0.6320740740740741,0.46,27.0,23.0
0,0.7530859999999999,0.169,0.6346666666666667,0.48,26.0,24.0
0,0.7289133333333333,0.15,0.522,0.5,25.0,25.0
0,0.8136286666666668,0.166,0.6569166666666667,0.52,24.0,26.0
0,0.7955453333333332,0.193,0.6722028985507247,0.54,23.0,27.0
0,0.9019206666666668,0.126,0.5859090909090909,0.56,22.0,28.0
0,0.863128,0.162,0.6677142857142857,0.58,21.0,29.0
0,0.7258793333333333,0.213,0.7152333333333334,0.6,20.0,30.0
0,0.7709406666666667,0.209,0.6984561403508772,0.62,19.0,31.0
0,0.764274,0.222,0.6389259259259259,0.64,18.0,32.0
0,0.7218153333333333,0.218,0.6158823529411764,0.66,17.0,33.0
0,0.753192,0.212,0.7060833333333333,0.68,16.0,34.0
0,0.8033553333333333,0.191,0.6957777777777778,0.7,15.0,35.0
0,0.7418646666666667,0.214,0.6931428571428572,0.72,14.0,36.0
0,0.8203713333333333,0.242,0.7001025641025641,0.74,13.0,37.0
0,0.716546,0.26,0.6999444444444445,0.76,12.0,38.0
0,0.7562893333333333,0.244,0.6797575757575758,0.78,11.0,39.0
0,0.8533393333333333,0.214,0.7714,0.8,10.0,40.0
0,0.831844,0.203,0.762962962962963,0.82,9.0,41.0
0,0.7266193333333333,0.259,0.8218333333333333,0.84,8.0,42.0
0,0.88308,0.176,0.8221904761904761,0.86,7.0,43.0
0,0.702782,0.268,0.7045555555555556,0.88,6.0,44.0
0,0.808768,0.237,0.6645333333333333,0.9,5.0,45.0
0,0.7347980000000001,0.247,0.8253333333333334,0.92,4.0,46.0
0,0.8190026666666668,0.211,0.7333333333333333,0.94,3.0,47.0
0,0.6738906666666666,0.287,0.7263333333333334,0.96,2.0,48.0
0,0.7216793333333335,0.253,0.828,0.98,1.0,49.0
0,0.543032,0.514,0.3753866666666666,0.0,50.0,0.0
0,0.5942186666666667,0.44,0.42178231292517,0.02,49.0,1.0
0,0.5740413333333333,0.457,0.4208194444444444,0.04,48.0,2.0
0,0.6008473333333333,0.448,0.4073475177304964,0.06,47.0,3.0
0,0.5355773333333333,0.467,0.3774347826086957,0.08,46.0,4.0
0,0.5997546666666667,0.417,0.418237037037037,0.1,45.0,5.0
0,0.6659026666666666,0.361,0.4663787878787879,0.12,44.0,6.0
0,0.6565366666666667,0.367,0.3987286821705426,0.14,43.0,7.0
0,0.8536906666666666,0.134,0.564968253968254,0.16,42.0,8.0
0,0.5820546666666666,0.445,0.4189756097560975,0.18,41.0,9.0
0,0.6204093333333334,0.347,0.4467666666666666,0.2,40.0,10.0
0,0.6843180000000001,0.35,0.4479829059829059,0.22,39.0,11.0
0,0.6308606666666666,0.372,0.4304561403508772,0.24,38.0,12.0
0,0.6201420000000001,0.34,0.4247027027027027,0.26,37.0,13.0
0,0.677054,0.3,0.4704814814814815,0.28,36.0,14.0
0,0.6822353333333334,0.232,0.4793333333333333,0.3,35.0,15.0
0,0.8420006666666668,0.107,0.6292941176470588,0.32,34.0,16.0
0,0.6412213333333333,0.245,0.5052929292929292,0.34,33.0,17.0
0,0.7472326666666667,0.129,0.55175,0.36,32.0,18.0
0,0.70297,0.214,0.6073118279569892,0.38,31.0,19.0
0,0.7937160000000001,0.115,0.6115777777777778,0.4,30.0,20.0
0,0.8153266666666666,0.161,0.6318620689655172,0.42,29.0,21.0
0,0.8171106666666664,0.173,0.6322142857142857,0.44,28.0,22.0
0,0.828158,0.155,0.6320740740740741,0.46,27.0,23.0
0,0.7530859999999999,0.169,0.6346666666666667,0.48,26.0,24.0
0,0.7289133333333333,0.15,0.522,0.5,25.0,25.0
0,0.8136286666666668,0.166,0.6569166666666667,0.52,24.0,26.0
0,0.7955453333333332,0.193,0.6722028985507247,0.54,23.0,27.0
0,0.9019206666666668,0.126,0.5859090909090909,0.56,22.0,28.0
0,0.863128,0.162,0.6677142857142857,0.58,21.0,29.0
0,0.7258793333333333,0.213,0.7152333333333334,0.6,20.0,30.0
0,0.7709406666666667,0.209,0.6984561403508772,0.62,19.0,31.0
0,0.764274,0.222,0.6389259259259259,0.64,18.0,32.0
0,0.7218153333333333,0.218,0.6158823529411764,0.66,17.0,33.0
0,0.753192,0.212,0.7060833333333333,0.68,16.0,34.0
0,0.8033553333333333,0.191,0.6957777777777778,0.7,15.0,35.0
0,0.7418646666666667,0.214,0.6931428571428572,0.72,14.0,36.0
0,0.8203713333333333,0.242,0.7001025641025641,0.74,13.0,37.0
0,0.716546,0.26,0.6999444444444445,0.76,12.0,38.0
0,0.7562893333333333,0.244,0.6797575757575758,0.78,11.0,39.0
0,0.8533393333333333,0.214,0.7714,0.8,10.0,40.0
0,0.831844,0.203,0.762962962962963,0.82,9.0,41.0
0,0.7266193333333333,0.259,0.8218333333333333,0.84,8.0,42.0
0,0.88308,0.176,0.8221904761904761,0.86,7.0,43.0
0,0.702782,0.268,0.7045555555555556,0.88,6.0,44.0
0,0.808768,0.237,0.6645333333333333,0.9,5.0,45.0
0,0.7347980000000001,0.247,0.8253333333333334,0.92,4.0,46.0
0,0.8190026666666668,0.211,0.7333333333333333,0.94,3.0,47.0
0,0.6738906666666666,0.287,0.7263333333333334,0.96,2.0,48.0
0,0.7216793333333335,0.253,0.828,0.98,1.0,49.0
0,0.543032,0.514,0.3753866666666666,0.0,50.0,0.0
0,0.5942186666666667,0.44,0.42178231292517,0.02,49.0,1.0
0,0.5740413333333333,0.457,0.4208194444444444,0.04,48.0,2.0
0,0.6008473333333333,0.448,0.4073475177304964,0.06,47.0,3.0
0,0.5355773333333333,0.467,0.3774347826086957,0.08,46.0,4.0
0,0.5997546666666667,0.417,0.418237037037037,0.1,45.0,5.0
0,0.6659026666666666,0.361,0.4663787878787879,0.12,44.0,6.0
0,0.6565366666666667,0.367,0.3987286821705426,0.14,43.0,7.0
0,0.8536906666666666,0.134,0.564968253968254,0.16,42.0,8.0
0,0.5820546666666666,0.445,0.4189756097560975,0.18,41.0,9.0
0,0.6204093333333334,0.347,0.4467666666666666,0.2,40.0,10.0
0,0.6843180000000001,0.35,0.4479829059829059,0.22,39.0,11.0
0,0.6308606666666666,0.372,0.4304561403508772,0.24,38.0,12.0
0,0.6201420000000001,0.34,0.4247027027027027,0.26,37.0,13.0
0,0.677054,0.3,0.4704814814814815,0.28,36.0,14.0
0,0.6822353333333334,0.232,0.4793333333333333,0.3,35.0,15.0
0,0.8420006666666668,0.107,0.6292941176470588,0.32,34.0,16.0
0,0.6412213333333333,0.245,0.5052929292929292,0.34,33.0,17.0
0,0.7472326666666667,0.129,0.55175,0.36,32.0,18.0
0,0.70297,0.214,0.6073118279569892,0.38,31.0,19.0
0,0.7937160000000001,0.115,0.6115777777777778,0.4,30.0,20.0
0,0.8153266666666666,0.161,0.6318620689655172,0.42,29.0,21.0
0,0.8171106666666664,0.173,0.6322142857142857,0.44,28.0,22.0
0,0.828158,0.155,0.6320740740740741,0.46,27.0,23.0
0,0.7530859999999999,0.169,0.6346666666666667,0.48,26.0,24.0
0,0.7289133333333333,0.15,0.522,0.5,25.0,25.0
0,0.8136286666666668,0.166,0.6569166666666667,0.52,24.0,26.0
0,0.7955453333333332,0.193,0.6722028985507247,0.54,23.0,27.0
0,0.9019206666666668,0.126,0.5859090909090909,0.56,22.0,28.0
0,0.863128,0.162,0.6677142857142857,0.58,21.0,29.0
0,0.7258793333333333,0.213,0.7152333333333334,0.6,20.0,30.0
0,0.7709406666666667,0.209,0.6984561403508772,0.62,19.0,31.0
0,0.764274,0.222,0.6389259259259259,0.64,18.0,32.0
0,0.7218153333333333,0.218,0.6158823529411764,0.66,17.0,33.0
0,0.753192,0.212,0.7060833333333333,0.68,16.0,34.0
0,0.8033553333333333,0.191,0.6957777777777778,0.7,15.0,35.0
0,0.7418646666666667,0.214,0.6931428571428572,0.72,14.0,36.0
0,0.8203713333333333,0.242,0.7001025641025641,0.74,13.0,37.0
0,0.716546,0.26,0.6999444444444445,0.76,12.0,38.0
0,0.7562893333333333,0.244,0.6797575757575758,0.78,11.0,39.0
0,0.8533393333333333,0.214,0.7714,0.8,10.0,40.0
0,0.831844,0.203,0.762962962962963,0.82,9.0,41.0
0,0.7266193333333333,0.259,0.8218333333333333,0.84,8.0,42.0
0,0.88308,0.176,0.8221904761904761,0.86,7.0,43.0
0,0.702782,0.268,0.7045555555555556,0.88,6.0,44.0
0,0.808768,0.237,0.6645333333333333,0.9,5.0,45.0
0,0.7347980000000001,0.247,0.8253333333333334,0.92,4.0,46.0
0,0.8190026666666668,0.211,0.7333333333333333,0.94,3.0,47.0
0,0.6738906666666666,0.287,0.7263333333333334,0.96,2.0,48.0
0,0.7216793333333335,0.253,0.828,0.98,1.0,49.0
0,0.543032,0.514,0.3753866666666666,0.0,50.0,0.0
0,0.5942186666666667,0.44,0.42178231292517,0.02,49.0,1.0
0,0.5740413333333333,0.457,0.4208194444444444,0.04,48.0,2.0
0,0.6008473333333333,0.448,0.4073475177304964,0.06,47.0,3.0
0,0.5355773333333333,0.467,0.3774347826086957,0.08,46.0,4.0
0,0.5997546666666667,0.417,0.418237037037037,0.1,45.0,5.0
0,0.6659026666666666,0.361,0.4663787878787879,0.12,44.0,6.0
0,0.6565366666666667,0.367,0.3987286821705426,0.14,43.0,7.0
0,0.8536906666666666,0.134,0.564968253968254,0.16,42.0,8.0
0,0.5820546666666666,0.445,0.4189756097560975,0.18,41.0,9.0
0,0.6204093333333334,0.347,0.4467666666666666,0.2,40.0,10.0
0,0.6843180000000001,0.35,0.4479829059829059,0.22,39.0,11.0
0,0.6308606666666666,0.372,0.4304561403508772,0.24,38.0,12.0
0,0.6201420000000001,0.34,0.4247027027027027,0.26,37.0,13.0
0,0.677054,0.3,0.4704814814814815,0.28,36.0,14.0
0,0.6822353333333334,0.232,0.4793333333333333,0.3,35.0,15.0
0,0.8420006666666668,0.107,0.6292941176470588,0.32,34.0,16.0
0,0.6412213333333333,0.245,0.5052929292929292,0.34,33.0,17.0
0,0.7472326666666667,0.129,0.55175,0.36,32.0,18.0
0,0.70297,0.214,0.6073118279569892,0.38,31.0,19.0
0,0.7937160000000001,0.115,0.6115777777777778,0.4,30.0,20.0
0,0.8153266666666666,0.161,0.6318620689655172,0.42,29.0,21.0
0,0.8171106666666664,0.173,0.6322142857142857,0.44,28.0,22.0
0,0.828158,0.155,0.6320740740740741,0.46,27.0,23.0
0,0.7530859999999999,0.169,0.6346666666666667,0.48,26.0,24.0
0,0.7289133333333333,0.15,0.522,0.5,25.0,25.0
0,0.8136286666666668,0.166,0.6569166666666667,0.52,24.0,26.0
0,0.7955453333333332,0.193,0.6722028985507247,0.54,23.0,27.0
0,0.9019206666666668,0.126,0.5859090909090909,0.56,22.0,28.0
0,0.863128,0.162,0.6677142857142857,0.58,21.0,29.0
0,0.7258793333333333,0.213,0.7152333333333334,0.6,20.0,30.0
0,0.7709406666666667,0.209,0.6984561403508772,0.62,19.0,31.0
0,0.764274,0.222,0.6389259259259259,0.64,18.0,32.0
0,0.7218153333333333,0.218,0.6158823529411764,0.66,17.0,33.0
0,0.753192,0.212,0.7060833333333333,0.68,16.0,34.0
0,0.8033553333333333,0.191,0.6957777777777778,0.7,15.0,35.0
0,0.7418646666666667,0.214,0.6931428571428572,0.72,14.0,36.0
0,0.8203713333333333,0.242,0.7001025641025641,0.74,13.0,37.0
0,0.716546,0.26,0.6999444444444445,0.76,12.0,38.0
0,0.7562893333333333,0.244,0.6797575757575758,0.78,11.0,39.0
0,0.8533393333333333,0.214,0.7714,0.8,10.0,40.0
0,0.831844,0.203,0.762962962962963,0.82,9.0,41.0
0,0.7266193333333333,0.259,0.8218333333333333,0.84,8.0,42.0
0,0.88308,0.176,0.8221904761904761,0.86,7.0,43.0
0,0.702782,0.268,0.7045555555555556,0.88,6.0,44.0
0,0.808768,0.237,0.6645333333333333,0.9,5.0,45.0
0,0.7347980000000001,0.247,0.8253333333333334,0.92,4.0,46.0
0,0.8190026666666668,0.211,0.7333333333333333,0.94,3.0,47.0
0,0.6738906666666666,0.287,0.7263333333333334,0.96,2.0,48.0
0,0.7216793333333335,0.253,0.828,0.98,1.0,49.0
0,0.543032,0.514,0.3753866666666666,0.0,50.0,0.0
0,0.5942186666666667,0.44,0.42178231292517,0.02,49.0,1.0
0,0.5740413333333333,0.457,0.4208194444444444,0.04,48.0,2.0
0,0.6008473333333333,0.448,0.4073475177304964,0.06,47.0,3.0
0,0.5355773333333333,0.467,0.3774347826086957,0.08,46.0,4.0
0,0.5997546666666667,0.417,0.418237037037037,0.1,45.0,5.0
0,0.6659026666666666,0.361,0.4663787878787879,0.12,44.0,6.0
0,0.6565366666666667,0.367,0.3987286821705426,0.14,43.0,7.0
0,0.8536906666666666,0.134,0.564968253968254,0.16,42.0,8.0
0,0.5820546666666666,0.445,0.4189756097560975,0.18,41.0,9.0
0,0.6204093333333334,0.347,0.4467666666666666,0.2,40.0,10.0
0,0.6843180000000001,0.35,0.4479829059829059,0.22,39.0,11.0
0,0.6308606666666666,0.372,0.4304561403508772,0.24,38.0,12.0
0,0.6201420000000001,0.34,0.4247027027027027,0.26,37.0,13.0
0,0.677054,0.3,0.4704814814814815,0.28,36.0,14.0
0,0.6822353333333334,0.232,0.4793333333333333,0.3,35.0,15.0
0,0.8420006666666668,0.107,0.6292941176470588,0.32,34.0,16.0
0,0.6412213333333333,0.245,0.5052929292929292,0.34,33.0,17.0
0,0.7472326666666667,0.129,0.55175,0.36,32.0,18.0
0,0.70297,0.214,0.6073118279569892,0.38,31.0,19.0
0,0.7937160000000001,0.115,0.6115777777777778,0.4,30.0,20.0
0,0.8153266666666666,0.161,0.6318620689655172,0.42,29.0,21.0
0,0.8171106666666664,0.173,0.6322142857142857,0.44,28.0,22.0
0,0.828158,0.155,0.6320740740740741,0.46,27.0,23.0
0,0.7530859999999999,0.169,0.6346666666666667,0.48,26.0,24.0
0,0.7289133333333333,0.15,0.522,0.5,25.0,25.0
0,0.8136286666666668,0.166,0.6569166666666667,0.52,24.0,26.0
0,0.7955453333333332,0.193,0.6722028985507247,0.54,23.0,27.0
0,0.9019206666666668,0.126,0.5859090909090909,0.56,22.0,28.0
0,0.863128,0.162,0.6677142857142857,0.58,21.0,29.0
0,0.7258793333333333,0.213,0.7152333333333334,0.6,20.0,30.0
0,0.7709406666666667,0.209,0.6984561403508772,0.62,19.0,31.0
0,0.764274,0.222,0.6389259259259259,0.64,18.0,32.0
0,0.7218153333333333,0.218,0.6158823529411764,0.66,17.0,33.0
0,0.753192,0.212,0.7060833333333333,0.68,16.0,34.0
0,0.8033553333333333,0.191,0.6957777777777778,0.7,15.0,35.0
0,0.7418646666666667,0.214,0.6931428571428572,0.72,14.0,36.0
0,0.8203713333333333,0.242,0.7001025641025641,0.74,13.0,37.0
0,0.716546,0.26,0.6999444444444445,0.76,12.0,38.0
0,0.7562893333333333,0.244,0.6797575757575758,0.78,11.0,39.0
0,0.8533393333333333,0.214,0.7714,0.8,10.0,40.0
0,0.831844,0.203,0.762962962962963,0.82,9.0,41.0
0,0.7266193333333333,0.259,0.8218333333333333,0.84,8.0,42.0
0,0.88308,0.176,0.8221904761904761,0.86,7.0,43.0
0,0.702782,0.268,0.7045555555555556,0.88,6.0,44.0
0,0.808768,0.237,0.6645333333333333,0.9,5.0,45.0
0,0.7347980000000001,0.247,0.8253333333333334,0.92,4.0,46.0
0,0.8190026666666668,0.211,0.7333333333333333,0.94,3.0,47.0
0,0.6738906666666666,0.287,0.7263333333333334,0.96,2.0,48.0
0,0.7216793333333335,0.253,0.828,0.98,1.0,49.0
