,Proximity Threshold,Time to Target,Time on Target,Average Time on Target,Adjusted Time on Target,Seekers,Explorers
0,0.1,0.0,308.86666666669123,9.455102040817078,18.91020408163416,49,1
0,0.1,0.001,22.466666666666807,0.7020833333333377,1.4041666666666754,48,2
0,0.1,0.003,13.000000000000004,0.4148936170212767,0.8297872340425535,47,3
0,0.1,0.011,109.33333333332996,3.5652173913042384,7.130434782608477,46,4
0,0.1,0.001,60.53333333333274,2.0177777777777584,4.035555555555517,45,5
0,0.1,0.003,129.19999999999553,4.4045454545453016,8.809090909090603,44,6
0,0.1,0.0,211.0000000000023,7.36046511627915,14.7209302325583,43,7
0,0.1,0.0,285.60000000001924,10.200000000000689,20.400000000001377,42,8
0,0.1,0.0,46.33333333333356,1.69512195121952,3.3902439024390403,41,9
0,0.1,0.005,373.46666666670586,14.00500000000147,28.01000000000294,40,10
0,0.1,0.0,361.8666666667032,13.917948717950123,27.83589743590025,39,11
0,0.1,0.0,200.53333333333327,7.915789473684208,15.831578947368415,38,12
0,0.1,0.0,204.3333333333341,8.283783783783816,16.567567567567632,37,13
0,0.1,0.007,450.06666666672334,18.75277777778014,37.50555555556028,36,14
0,0.1,0.0,88.73333333333116,3.802857142857049,7.605714285714098,35,15
0,0.1,0.003,226.4666666666725,9.991176470588492,19.982352941176984,34,16
0,0.1,0.0,104.86666666666358,4.766666666666525,9.53333333333305,33,17
0,0.1,0.0,212.33333333333596,9.953125000000124,19.906250000000245,32,18
0,0.1,0.017,126.1999999999957,6.106451612903017,12.212903225806034,31,19
0,0.1,0.0,474.8666666667289,23.743333333336448,47.486666666672896,30,20
0,0.1,0.0,322.1333333333609,16.662068965518667,33.324137931037335,29,21
0,0.1,0.0,451.1333333333902,24.16785714286019,48.33571428572038,28,22
0,0.1,0.022,220.9333333333379,12.274074074074328,24.548148148148652,27,23
0,0.1,0.005,229.33333333333985,13.230769230769605,26.46153846153921,26,24
0,0.1,0.033,181.59999999999565,10.895999999999738,21.79199999999948,25,25
0,0.1,0.006,306.0666666666906,19.12916666666816,38.25833333333632,24,26
0,0.1,0.0,389.0000000000428,25.369565217394094,50.73913043478819,23,27
0,0.1,0.017,1088.9333333330733,74.24545454543681,148.49090909087363,22,28
0,0.1,0.0,861.7999999999465,61.55714285713904,123.11428571427808,21,29
0,0.1,0.05,216.8666666666703,16.265000000000274,32.53000000000055,20,30
0,0.1,0.001,187.46666666666363,14.79999999999976,29.59999999999952,19,31
0,0.1,0.023,124.53333333332913,10.377777777777426,20.755555555554853,18,32
0,0.1,0.0,211.266666666669,18.641176470588444,37.28235294117689,17,33
0,0.1,0.003,88.33333333333118,8.281249999999797,16.562499999999595,16,34
0,0.1,0.007,570.200000000084,57.0200000000084,114.0400000000168,15,35
0,0.1,0.003,462.26666666672605,49.52857142857779,99.05714285715558,14,36
0,0.1,0.0,548.8000000000791,63.32307692308605,126.6461538461721,13,37
0,0.1,0.037,212.533333333336,26.566666666667,53.133333333334,12,38
0,0.1,0.075,259.26666666667995,35.354545454547264,70.70909090909453,11,39
0,0.1,0.005,412.6666666667148,61.90000000000722,123.80000000001444,10,40
0,0.1,0.035,381.9333333333745,63.655555555562415,127.31111111112484,9,41
0,0.1,0.0,119.9333333333294,22.487499999999255,44.97499999999852,8,42
0,0.1,0.013,417.40000000004926,89.44285714286768,178.88571428573536,7,43
0,0.1,0.023,165.9999999999934,41.49999999999836,82.99999999999672,6,44
0,0.1,0.057,205.66666666666777,61.70000000000033,123.40000000000066,5,45
0,0.1,0.033,96.59999999999737,36.22499999999901,72.44999999999803,4,46
0,0.1,0.019,191.79999999999797,95.89999999999895,191.79999999999797,3,47
0,0.1,0.074,67.13333333333237,50.34999999999928,100.69999999999855,2,48
0,0.1,0.077,28.066666666666883,42.10000000000033,84.20000000000066,1,49
0,0.1,0.0,86.33333333333128,2.5899999999999386,5.179999999999877,50,0
0,0.1,0.0,308.86666666669123,9.455102040817078,18.91020408163416,49,1
0,0.1,0.001,22.466666666666807,0.7020833333333377,1.4041666666666754,48,2
0,0.1,0.003,13.000000000000004,0.4148936170212767,0.8297872340425535,47,3
0,0.1,0.011,109.33333333332996,3.5652173913042384,7.130434782608477,46,4
0,0.1,0.001,60.53333333333274,2.0177777777777584,4.035555555555517,45,5
0,0.1,0.003,129.19999999999553,4.4045454545453016,8.809090909090603,44,6
0,0.1,0.0,211.0000000000023,7.36046511627915,14.7209302325583,43,7
0,0.1,0.0,285.60000000001924,10.200000000000689,20.400000000001377,42,8
0,0.1,0.0,46.33333333333356,1.69512195121952,3.3902439024390403,41,9
0,0.1,0.005,373.46666666670586,14.00500000000147,28.01000000000294,40,10
0,0.1,0.0,361.8666666667032,13.917948717950123,27.83589743590025,39,11
0,0.1,0.0,200.53333333333327,7.915789473684208,15.831578947368415,38,12
0,0.1,0.0,204.3333333333341,8.283783783783816,16.567567567567632,37,13
0,0.1,0.007,450.06666666672334,18.75277777778014,37.50555555556028,36,14
0,0.1,0.0,88.73333333333116,3.802857142857049,7.605714285714098,35,15
0,0.1,0.003,226.4666666666725,9.991176470588492,19.982352941176984,34,16
0,0.1,0.0,104.86666666666358,4.766666666666525,9.53333333333305,33,17
0,0.1,0.0,212.33333333333596,9.953125000000124,19.906250000000245,32,18
0,0.1,0.017,126.1999999999957,6.106451612903017,12.212903225806034,31,19
0,0.1,0.0,474.8666666667289,23.743333333336448,47.486666666672896,30,20
0,0.1,0.0,322.1333333333609,16.662068965518667,33.324137931037335,29,21
0,0.1,0.0,451.1333333333902,24.16785714286019,48.33571428572038,28,22
0,0.1,0.022,220.9333333333379,12.274074074074328,24.548148148148652,27,23
0,0.1,0.005,229.33333333333985,13.230769230769605,26.46153846153921,26,24
0,0.1,0.033,181.59999999999565,10.895999999999738,21.79199999999948,25,25
0,0.1,0.006,306.0666666666906,19.12916666666816,38.25833333333632,24,26
0,0.1,0.0,389.0000000000428,25.369565217394094,50.73913043478819,23,27
0,0.1,0.017,1088.9333333330733,74.24545454543681,148.49090909087363,22,28
0,0.1,0.0,861.7999999999465,61.55714285713904,123.11428571427808,21,29
0,0.1,0.05,216.8666666666703,16.265000000000274,32.53000000000055,20,30
0,0.1,0.001,187.46666666666363,14.79999999999976,29.59999999999952,19,31
0,0.1,0.023,124.53333333332913,10.377777777777426,20.755555555554853,18,32
0,0.1,0.0,211.266666666669,18.641176470588444,37.28235294117689,17,33
0,0.1,0.003,88.33333333333118,8.281249999999797,16.562499999999595,16,34
0,0.1,0.007,570.200000000084,57.0200000000084,114.0400000000168,15,35
0,0.1,0.003,462.26666666672605,49.52857142857779,99.05714285715558,14,36
0,0.1,0.0,548.8000000000791,63.32307692308605,126.6461538461721,13,37
0,0.1,0.037,212.533333333336,26.566666666667,53.133333333334,12,38
0,0.1,0.075,259.26666666667995,35.354545454547264,70.70909090909453,11,39
0,0.1,0.005,412.6666666667148,61.90000000000722,123.80000000001444,10,40
0,0.1,0.035,381.9333333333745,63.655555555562415,127.31111111112484,9,41
0,0.1,0.0,119.9333333333294,22.487499999999255,44.97499999999852,8,42
0,0.1,0.013,417.40000000004926,89.44285714286768,178.88571428573536,7,43
0,0.1,0.023,165.9999999999934,41.49999999999836,82.99999999999672,6,44
0,0.1,0.057,205.66666666666777,61.70000000000033,123.40000000000066,5,45
0,0.1,0.033,96.59999999999737,36.22499999999901,72.44999999999803,4,46
0,0.1,0.019,191.79999999999797,95.89999999999895,191.79999999999797,3,47
0,0.1,0.074,67.13333333333237,50.34999999999928,100.69999999999855,2,48
0,0.1,0.077,28.066666666666883,42.10000000000033,84.20000000000066,1,49
0,0.1,0.0,86.33333333333128,2.5899999999999386,5.179999999999877,50,0
0,0.1,0.0,308.86666666669123,9.455102040817078,18.91020408163416,49,1
0,0.1,0.001,22.466666666666807,0.7020833333333377,1.4041666666666754,48,2
0,0.1,0.003,13.000000000000004,0.4148936170212767,0.8297872340425535,47,3
0,0.1,0.011,109.33333333332996,3.5652173913042384,7.130434782608477,46,4
0,0.1,0.001,60.53333333333274,2.0177777777777584,4.035555555555517,45,5
0,0.1,0.003,129.19999999999553,4.4045454545453016,8.809090909090603,44,6
0,0.1,0.0,211.0000000000023,7.36046511627915,14.7209302325583,43,7
0,0.1,0.0,285.60000000001924,10.200000000000689,20.400000000001377,42,8
0,0.1,0.0,46.33333333333356,1.69512195121952,3.3902439024390403,41,9
0,0.1,0.005,373.46666666670586,14.00500000000147,28.01000000000294,40,10
0,0.1,0.0,361.8666666667032,13.917948717950123,27.83589743590025,39,11
0,0.1,0.0,200.53333333333327,7.915789473684208,15.831578947368415,38,12
0,0.1,0.0,204.3333333333341,8.283783783783816,16.567567567567632,37,13
0,0.1,0.007,450.06666666672334,18.75277777778014,37.50555555556028,36,14
0,0.1,0.0,88.73333333333116,3.802857142857049,7.605714285714098,35,15
0,0.1,0.003,226.4666666666725,9.991176470588492,19.982352941176984,34,16
0,0.1,0.0,104.86666666666358,4.766666666666525,9.53333333333305,33,17
0,0.1,0.0,212.33333333333596,9.953125000000124,19.906250000000245,32,18
0,0.1,0.017,126.1999999999957,6.106451612903017,12.212903225806034,31,19
0,0.1,0.0,474.8666666667289,23.743333333336448,47.486666666672896,30,20
0,0.1,0.0,322.1333333333609,16.662068965518667,33.324137931037335,29,21
0,0.1,0.0,451.1333333333902,24.16785714286019,48.33571428572038,28,22
0,0.1,0.022,220.9333333333379,12.274074074074328,24.548148148148652,27,23
0,0.1,0.005,229.33333333333985,13.230769230769605,26.46153846153921,26,24
0,0.1,0.033,181.59999999999565,10.895999999999738,21.79199999999948,25,25
0,0.1,0.006,306.0666666666906,19.12916666666816,38.25833333333632,24,26
0,0.1,0.0,389.0000000000428,25.369565217394094,50.73913043478819,23,27
0,0.1,0.017,1088.9333333330733,74.24545454543681,148.49090909087363,22,28
0,0.1,0.0,861.7999999999465,61.55714285713904,123.11428571427808,21,29
0,0.1,0.05,216.8666666666703,16.265000000000274,32.53000000000055,20,30
0,0.1,0.001,187.46666666666363,14.79999999999976,29.59999999999952,19,31
0,0.1,0.023,124.53333333332913,10.377777777777426,20.755555555554853,18,32
0,0.1,0.0,211.266666666669,18.641176470588444,37.28235294117689,17,33
0,0.1,0.003,88.33333333333118,8.281249999999797,16.562499999999595,16,34
0,0.1,0.007,570.200000000084,57.0200000000084,114.0400000000168,15,35
0,0.1,0.003,462.26666666672605,49.52857142857779,99.05714285715558,14,36
0,0.1,0.0,548.8000000000791,63.32307692308605,126.6461538461721,13,37
0,0.1,0.037,212.533333333336,26.566666666667,53.133333333334,12,38
0,0.1,0.075,259.26666666667995,35.354545454547264,70.70909090909453,11,39
0,0.1,0.005,412.6666666667148,61.90000000000722,123.80000000001444,10,40
0,0.1,0.035,381.9333333333745,63.655555555562415,127.31111111112484,9,41
0,0.1,0.0,119.9333333333294,22.487499999999255,44.97499999999852,8,42
0,0.1,0.013,417.40000000004926,89.44285714286768,178.88571428573536,7,43
0,0.1,0.023,165.9999999999934,41.49999999999836,82.99999999999672,6,44
0,0.1,0.057,205.66666666666777,61.70000000000033,123.40000000000066,5,45
0,0.1,0.033,96.59999999999737,36.22499999999901,72.44999999999803,4,46
0,0.1,0.019,191.79999999999797,95.89999999999895,191.79999999999797,3,47
0,0.1,0.074,67.13333333333237,50.34999999999928,100.69999999999855,2,48
0,0.1,0.077,28.066666666666883,42.10000000000033,84.20000000000066,1,49
0,0.1,0.0,86.33333333333128,2.5899999999999386,5.179999999999877,50,0
0,0.1,0.0,308.86666666669123,9.455102040817078,18.91020408163416,49,1
0,0.1,0.001,22.466666666666807,0.7020833333333377,1.4041666666666754,48,2
0,0.1,0.003,13.000000000000004,0.4148936170212767,0.8297872340425535,47,3
0,0.1,0.011,109.33333333332996,3.5652173913042384,7.130434782608477,46,4
0,0.1,0.001,60.53333333333274,2.0177777777777584,4.035555555555517,45,5
0,0.1,0.003,129.19999999999553,4.4045454545453016,8.809090909090603,44,6
0,0.1,0.0,211.0000000000023,7.36046511627915,14.7209302325583,43,7
0,0.1,0.0,285.60000000001924,10.200000000000689,20.400000000001377,42,8
0,0.1,0.0,46.33333333333356,1.69512195121952,3.3902439024390403,41,9
0,0.1,0.005,373.46666666670586,14.00500000000147,28.01000000000294,40,10
0,0.1,0.0,361.8666666667032,13.917948717950123,27.83589743590025,39,11
0,0.1,0.0,200.53333333333327,7.915789473684208,15.831578947368415,38,12
0,0.1,0.0,204.3333333333341,8.283783783783816,16.567567567567632,37,13
0,0.1,0.007,450.06666666672334,18.75277777778014,37.50555555556028,36,14
0,0.1,0.0,88.73333333333116,3.802857142857049,7.605714285714098,35,15
0,0.1,0.003,226.4666666666725,9.991176470588492,19.982352941176984,34,16
0,0.1,0.0,104.86666666666358,4.766666666666525,9.53333333333305,33,17
0,0.1,0.0,212.33333333333596,9.953125000000124,19.906250000000245,32,18
0,0.1,0.017,126.1999999999957,6.106451612903017,12.212903225806034,31,19
0,0.1,0.0,474.8666666667289,23.743333333336448,47.486666666672896,30,20
0,0.1,0.0,322.1333333333609,16.662068965518667,33.324137931037335,29,21
0,0.1,0.0,451.1333333333902,24.16785714286019,48.33571428572038,28,22
0,0.1,0.022,220.9333333333379,12.274074074074328,24.548148148148652,27,23
0,0.1,0.005,229.33333333333985,13.230769230769605,26.46153846153921,26,24
0,0.1,0.033,181.59999999999565,10.895999999999738,21.79199999999948,25,25
0,0.1,0.006,306.0666666666906,19.12916666666816,38.25833333333632,24,26
0,0.1,0.0,389.0000000000428,25.369565217394094,50.73913043478819,23,27
0,0.1,0.017,1088.9333333330733,74.24545454543681,148.49090909087363,22,28
0,0.1,0.0,861.7999999999465,61.55714285713904,123.11428571427808,21,29
0,0.1,0.05,216.8666666666703,16.265000000000274,32.53000000000055,20,30
0,0.1,0.001,187.46666666666363,14.79999999999976,29.59999999999952,19,31
0,0.1,0.023,124.53333333332913,10.377777777777426,20.755555555554853,18,32
0,0.1,0.0,211.266666666669,18.641176470588444,37.28235294117689,17,33
0,0.1,0.003,88.33333333333118,8.281249999999797,16.562499999999595,16,34
0,0.1,0.007,570.200000000084,57.0200000000084,114.0400000000168,15,35
0,0.1,0.003,462.26666666672605,49.52857142857779,99.05714285715558,14,36
0,0.1,0.0,548.8000000000791,63.32307692308605,126.6461538461721,13,37
0,0.1,0.037,212.533333333336,26.566666666667,53.133333333334,12,38
0,0.1,0.075,259.26666666667995,35.354545454547264,70.70909090909453,11,39
0,0.1,0.005,412.6666666667148,61.90000000000722,123.80000000001444,10,40
0,0.1,0.035,381.9333333333745,63.655555555562415,127.31111111112484,9,41
0,0.1,0.0,119.9333333333294,22.487499999999255,44.97499999999852,8,42
0,0.1,0.013,417.40000000004926,89.44285714286768,178.88571428573536,7,43
0,0.1,0.023,165.9999999999934,41.49999999999836,82.99999999999672,6,44
0,0.1,0.057,205.66666666666777,61.70000000000033,123.40000000000066,5,45
0,0.1,0.033,96.59999999999737,36.22499999999901,72.44999999999803,4,46
0,0.1,0.019,191.79999999999797,95.89999999999895,191.79999999999797,3,47
0,0.1,0.074,67.13333333333237,50.34999999999928,100.69999999999855,2,48
0,0.1,0.077,28.066666666666883,42.10000000000033,84.20000000000066,1,49
0,0.1,0.0,86.33333333333128,2.5899999999999386,5.179999999999877,50,0
0,0.1,0.0,308.86666666669123,9.455102040817078,18.91020408163416,49,1
0,0.1,0.001,22.466666666666807,0.7020833333333377,1.4041666666666754,48,2
0,0.1,0.003,13.000000000000004,0.4148936170212767,0.8297872340425535,47,3
0,0.1,0.011,109.33333333332996,3.5652173913042384,7.130434782608477,46,4
0,0.1,0.001,60.53333333333274,2.0177777777777584,4.035555555555517,45,5
0,0.1,0.003,129.19999999999553,4.4045454545453016,8.809090909090603,44,6
0,0.1,0.0,211.0000000000023,7.36046511627915,14.7209302325583,43,7
0,0.1,0.0,285.60000000001924,10.200000000000689,20.400000000001377,42,8
0,0.1,0.0,46.33333333333356,1.69512195121952,3.3902439024390403,41,9
0,0.1,0.005,373.46666666670586,14.00500000000147,28.01000000000294,40,10
0,0.1,0.0,361.8666666667032,13.917948717950123,27.83589743590025,39,11
0,0.1,0.0,200.53333333333327,7.915789473684208,15.831578947368415,38,12
0,0.1,0.0,204.3333333333341,8.283783783783816,16.567567567567632,37,13
0,0.1,0.007,450.06666666672334,18.75277777778014,37.50555555556028,36,14
0,0.1,0.0,88.73333333333116,3.802857142857049,7.605714285714098,35,15
0,0.1,0.003,226.4666666666725,9.991176470588492,19.982352941176984,34,16
0,0.1,0.0,104.86666666666358,4.766666666666525,9.53333333333305,33,17
0,0.1,0.0,212.33333333333596,9.953125000000124,19.906250000000245,32,18
0,0.1,0.017,126.1999999999957,6.106451612903017,12.212903225806034,31,19
0,0.1,0.0,474.8666666667289,23.743333333336448,47.486666666672896,30,20
0,0.1,0.0,322.1333333333609,16.662068965518667,33.324137931037335,29,21
0,0.1,0.0,451.1333333333902,24.16785714286019,48.33571428572038,28,22
0,0.1,0.022,220.9333333333379,12.274074074074328,24.548148148148652,27,23
0,0.1,0.005,229.33333333333985,13.230769230769605,26.46153846153921,26,24
0,0.1,0.033,181.59999999999565,10.895999999999738,21.79199999999948,25,25
0,0.1,0.006,306.0666666666906,19.12916666666816,38.25833333333632,24,26
0,0.1,0.0,389.0000000000428,25.369565217394094,50.73913043478819,23,27
0,0.1,0.017,1088.9333333330733,74.24545454543681,148.49090909087363,22,28
0,0.1,0.0,861.7999999999465,61.55714285713904,123.11428571427808,21,29
0,0.1,0.05,216.8666666666703,16.265000000000274,32.53000000000055,20,30
0,0.1,0.001,187.46666666666363,14.79999999999976,29.59999999999952,19,31
0,0.1,0.023,124.53333333332913,10.377777777777426,20.755555555554853,18,32
0,0.1,0.0,211.266666666669,18.641176470588444,37.28235294117689,17,33
0,0.1,0.003,88.33333333333118,8.281249999999797,16.562499999999595,16,34
0,0.1,0.007,570.200000000084,57.0200000000084,114.0400000000168,15,35
0,0.1,0.003,462.26666666672605,49.52857142857779,99.05714285715558,14,36
0,0.1,0.0,548.8000000000791,63.32307692308605,126.6461538461721,13,37
0,0.1,0.037,212.533333333336,26.566666666667,53.133333333334,12,38
0,0.1,0.075,259.26666666667995,35.354545454547264,70.70909090909453,11,39
0,0.1,0.005,412.6666666667148,61.90000000000722,123.80000000001444,10,40
0,0.1,0.035,381.9333333333745,63.655555555562415,127.31111111112484,9,41
0,0.1,0.0,119.9333333333294,22.487499999999255,44.97499999999852,8,42
0,0.1,0.013,417.40000000004926,89.44285714286768,178.88571428573536,7,43
0,0.1,0.023,165.9999999999934,41.49999999999836,82.99999999999672,6,44
0,0.1,0.057,205.66666666666777,61.70000000000033,123.40000000000066,5,45
0,0.1,0.033,96.59999999999737,36.22499999999901,72.44999999999803,4,46
0,0.1,0.019,191.79999999999797,95.89999999999895,191.79999999999797,3,47
0,0.1,0.074,67.13333333333237,50.34999999999928,100.69999999999855,2,48
0,0.1,0.077,28.066666666666883,42.10000000000033,84.20000000000066,1,49
